split,piece_key,composer,title,midi_performance,status,alignment_csv,rejected_csv,candidates_csv,alignment_rows,alignment_rejected,candidate_rows,candidate_events,labeled_events,unmatched_events,duration_not_candidate_events,ambiguous_candidate_events,error
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,Bach/Fugue/bwv_854/LuA01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_854__LuA01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_854__LuA01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_854__LuA01M.csv,727,12,1869,739,230,12,104,393,
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,Bach/Fugue/bwv_854/MiyashitaM01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_854__MiyashitaM01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_854__MiyashitaM01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_854__MiyashitaM01M.csv,726,12,1675,738,182,12,73,471,
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,Bach/Fugue/bwv_854/Ozaki01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_854__Ozaki01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_854__Ozaki01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_854__Ozaki01M.csv,727,7,1617,734,329,7,61,337,
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,Bach/Fugue/bwv_854/Richardson01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_854__Richardson01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_854__Richardson01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_854__Richardson01M.csv,722,16,1733,738,238,16,80,404,
validation,BachFugue_bwv_854,Bach,Fugue_bwv_854,Bach/Fugue/bwv_854/WangA01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_854__WangA01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_854__WangA01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_854__WangA01M.csv,725,11,1634,736,248,11,69,408,
train,BachFugue_bwv_856,Bach,Fugue_bwv_856,Bach/Fugue/bwv_856/LuoJ01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/alignments/Bach__Fugue__bwv_856__LuoJ01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/rejected/Bach__Fugue__bwv_856__LuoJ01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0000_0016/candidates/Bach__Fugue__bwv_856__LuoJ01M.csv,114,626,1853,740,50,626,26,38,
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,Bach/Fugue/bwv_857/Bult-ItoS02M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_857__Bult-ItoS02M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_857__Bult-ItoS02M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_857__Bult-ItoS02M.csv,1305,95,4564,1400,180,95,729,396,
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,Bach/Fugue/bwv_857/Lan01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_857__Lan01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_857__Lan01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_857__Lan01M.csv,1304,49,4204,1353,165,49,678,461,
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,Bach/Fugue/bwv_857/Lisiecki04M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_857__Lisiecki04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_857__Lisiecki04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_857__Lisiecki04M.csv,1303,42,4023,1345,260,42,495,548,
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,Bach/Fugue/bwv_857/ToA01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_857__ToA01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_857__ToA01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_857__ToA01M.csv,1308,53,4522,1361,206,53,678,424,
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,Bach/Fugue/bwv_857/WangA01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_857__WangA01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_857__WangA01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_857__WangA01M.csv,1306,34,4275,1340,164,34,683,459,
train,BachFugue_bwv_857,Bach,Fugue_bwv_857,Bach/Fugue/bwv_857/YuP01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_857__YuP01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_857__YuP01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_857__YuP01M.csv,1309,49,4398,1358,207,49,724,378,
train,BachFugue_bwv_858,Bach,Fugue_bwv_858,Bach/Fugue/bwv_858/VuV01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_858__VuV01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_858__VuV01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_858__VuV01M.csv,862,13,2484,875,244,13,474,144,
train,BachFugue_bwv_858,Bach,Fugue_bwv_858,Bach/Fugue/bwv_858/Zhang01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_858__Zhang01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_858__Zhang01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_858__Zhang01M.csv,873,15,2586,888,225,15,499,149,
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,Bach/Fugue/bwv_860/Ko04M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_860__Ko04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_860__Ko04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_860__Ko04M.csv,1710,29,4674,1739,491,29,194,1025,
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,Bach/Fugue/bwv_860/Nikiforov05M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_860__Nikiforov05M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_860__Nikiforov05M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_860__Nikiforov05M.csv,1708,42,4818,1750,474,42,212,1022,
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,Bach/Fugue/bwv_860/Tetzloff04M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_860__Tetzloff04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_860__Tetzloff04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_860__Tetzloff04M.csv,1707,59,4216,1766,545,59,198,964,
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,Bach/Fugue/bwv_860/TuanS01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_860__TuanS01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_860__TuanS01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_860__TuanS01M.csv,1699,41,4995,1740,384,41,318,997,
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,Bach/Fugue/bwv_860/YoungS01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_860__YoungS01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_860__YoungS01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_860__YoungS01M.csv,1702,60,3832,1762,664,60,119,919,
train,BachFugue_bwv_860,Bach,Fugue_bwv_860,Bach/Fugue/bwv_860/ZhangH04M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_860__ZhangH04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_860__ZhangH04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_860__ZhangH04M.csv,1708,36,4643,1744,495,36,222,991,
train,BachFugue_bwv_862,Bach,Fugue_bwv_862,Bach/Fugue/bwv_862/Song04M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_862__Song04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_862__Song04M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_862__Song04M.csv,844,24,2970,868,104,24,639,101,
train,BachFugue_bwv_863,Bach,Fugue_bwv_863,Bach/Fugue/bwv_863/LeeN01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/alignments/Bach__Fugue__bwv_863__LeeN01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/rejected/Bach__Fugue__bwv_863__LeeN01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0016_0032/candidates/Bach__Fugue__bwv_863__LeeN01M.csv,774,18,2730,792,122,18,573,79,
train,BachFugue_bwv_863,Bach,Fugue_bwv_863,Bach/Fugue/bwv_863/Shychko01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/alignments/Bach__Fugue__bwv_863__Shychko01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/rejected/Bach__Fugue__bwv_863__Shychko01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/candidates/Bach__Fugue__bwv_863__Shychko01M.csv,787,12,2894,799,99,12,654,34,
train,BachFugue_bwv_863,Bach,Fugue_bwv_863,Bach/Fugue/bwv_863/TongB01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/alignments/Bach__Fugue__bwv_863__TongB01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/rejected/Bach__Fugue__bwv_863__TongB01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/candidates/Bach__Fugue__bwv_863__TongB01M.csv,785,18,2825,803,168,18,496,121,
test,BachFugue_bwv_864,Bach,Fugue_bwv_864,Bach/Fugue/bwv_864/SunD01M.mid,ok,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/alignments/Bach__Fugue__bwv_864__SunD01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/rejected/Bach__Fugue__bwv_864__SunD01M.csv,/home/user/.clawsgo/projects/a1c4aad0-038d-4c75-ab75-64ac0670657c/tmp/asap_cross_piece/full_run/chunks/chunk_0032_0048/candidates/Bach__Fugue__bwv_864__SunD01M.csv,1170,18,3196,1188,348,18,165,657,
