split,piece_key,composer,title,performance_rank_in_piece,performances_in_piece,midi_performance,midi_score,xml_score
validation,BachFugue_bwv_866,Bach,Fugue_bwv_866,1,1,Bach/Fugue/bwv_866/SOLOM02.mid,Bach/Fugue/bwv_866/midi_score.mid,Bach/Fugue/bwv_866/xml_score.musicxml
train,BachFugue_bwv_867,Bach,Fugue_bwv_867,1,2,Bach/Fugue/bwv_867/HuNY01M.mid,Bach/Fugue/bwv_867/midi_score.mid,Bach/Fugue/bwv_867/xml_score.musicxml
train,BachFugue_bwv_867,Bach,Fugue_bwv_867,2,2,Bach/Fugue/bwv_867/Sham01M.mid,Bach/Fugue/bwv_867/midi_score.mid,Bach/Fugue/bwv_867/xml_score.musicxml
train,BachFugue_bwv_868,Bach,Fugue_bwv_868,1,1,Bach/Fugue/bwv_868/GonzalezJ05M.mid,Bach/Fugue/bwv_868/midi_score.mid,Bach/Fugue/bwv_868/xml_score.musicxml
train,BachFugue_bwv_870,Bach,Fugue_bwv_870,1,3,Bach/Fugue/bwv_870/ChenW01M.mid,Bach/Fugue/bwv_870/midi_score.mid,Bach/Fugue/bwv_870/xml_score.musicxml
train,BachFugue_bwv_870,Bach,Fugue_bwv_870,2,3,Bach/Fugue/bwv_870/LeeE01M.mid,Bach/Fugue/bwv_870/midi_score.mid,Bach/Fugue/bwv_870/xml_score.musicxml
train,BachFugue_bwv_870,Bach,Fugue_bwv_870,3,3,Bach/Fugue/bwv_870/MaximovI01M.mid,Bach/Fugue/bwv_870/midi_score.mid,Bach/Fugue/bwv_870/xml_score.musicxml
train,BachFugue_bwv_873,Bach,Fugue_bwv_873,1,2,Bach/Fugue/bwv_873/Lisiecki02.mid,Bach/Fugue/bwv_873/midi_score.mid,Bach/Fugue/bwv_873/xml_score.musicxml
train,BachFugue_bwv_873,Bach,Fugue_bwv_873,2,2,Bach/Fugue/bwv_873/Lisiecki13M.mid,Bach/Fugue/bwv_873/midi_score.mid,Bach/Fugue/bwv_873/xml_score.musicxml
validation,BachFugue_bwv_874,Bach,Fugue_bwv_874,1,3,Bach/Fugue/bwv_874/BianF01.mid,Bach/Fugue/bwv_874/midi_score.mid,Bach/Fugue/bwv_874/xml_score.musicxml
validation,BachFugue_bwv_874,Bach,Fugue_bwv_874,2,3,Bach/Fugue/bwv_874/Kurz01M.mid,Bach/Fugue/bwv_874/midi_score.mid,Bach/Fugue/bwv_874/xml_score.musicxml
validation,BachFugue_bwv_874,Bach,Fugue_bwv_874,3,3,Bach/Fugue/bwv_874/WongWY01M.mid,Bach/Fugue/bwv_874/midi_score.mid,Bach/Fugue/bwv_874/xml_score.musicxml
test,BachFugue_bwv_875,Bach,Fugue_bwv_875,1,2,Bach/Fugue/bwv_875/Ahfat01M.mid,Bach/Fugue/bwv_875/midi_score.mid,Bach/Fugue/bwv_875/xml_score.musicxml
test,BachFugue_bwv_875,Bach,Fugue_bwv_875,2,2,Bach/Fugue/bwv_875/CaoJ01M.mid,Bach/Fugue/bwv_875/midi_score.mid,Bach/Fugue/bwv_875/xml_score.musicxml
validation,BachFugue_bwv_876,Bach,Fugue_bwv_876,1,2,Bach/Fugue/bwv_876/SirajA01M.mid,Bach/Fugue/bwv_876/midi_score.mid,Bach/Fugue/bwv_876/xml_score.musicxml
validation,BachFugue_bwv_876,Bach,Fugue_bwv_876,2,2,Bach/Fugue/bwv_876/Song01M.mid,Bach/Fugue/bwv_876/midi_score.mid,Bach/Fugue/bwv_876/xml_score.musicxml
train,BachFugue_bwv_880,Bach,Fugue_bwv_880,1,3,Bach/Fugue/bwv_880/LeungR01M.mid,Bach/Fugue/bwv_880/midi_score.mid,Bach/Fugue/bwv_880/xml_score.musicxml
train,BachFugue_bwv_880,Bach,Fugue_bwv_880,2,3,Bach/Fugue/bwv_880/Sun02.mid,Bach/Fugue/bwv_880/midi_score.mid,Bach/Fugue/bwv_880/xml_score.musicxml
train,BachFugue_bwv_880,Bach,Fugue_bwv_880,3,3,Bach/Fugue/bwv_880/WangA04M.mid,Bach/Fugue/bwv_880/midi_score.mid,Bach/Fugue/bwv_880/xml_score.musicxml
train,BachFugue_bwv_883,Bach,Fugue_bwv_883,1,6,Bach/Fugue/bwv_883/GuoE01M.mid,Bach/Fugue/bwv_883/midi_score.mid,Bach/Fugue/bwv_883/xml_score.musicxml
train,BachFugue_bwv_883,Bach,Fugue_bwv_883,2,6,Bach/Fugue/bwv_883/Herbert02.mid,Bach/Fugue/bwv_883/midi_score.mid,Bach/Fugue/bwv_883/xml_score.musicxml
train,BachFugue_bwv_883,Bach,Fugue_bwv_883,3,6,Bach/Fugue/bwv_883/KaiRuiR03.mid,Bach/Fugue/bwv_883/midi_score.mid,Bach/Fugue/bwv_883/xml_score.musicxml
train,BachFugue_bwv_883,Bach,Fugue_bwv_883,4,6,Bach/Fugue/bwv_883/Khmara04.mid,Bach/Fugue/bwv_883/midi_score.mid,Bach/Fugue/bwv_883/xml_score.musicxml
train,BachFugue_bwv_883,Bach,Fugue_bwv_883,5,6,Bach/Fugue/bwv_883/Lim01.mid,Bach/Fugue/bwv_883/midi_score.mid,Bach/Fugue/bwv_883/xml_score.musicxml
train,BachFugue_bwv_883,Bach,Fugue_bwv_883,6,6,Bach/Fugue/bwv_883/LuM01M.mid,Bach/Fugue/bwv_883/midi_score.mid,Bach/Fugue/bwv_883/xml_score.musicxml
train,BachFugue_bwv_884,Bach,Fugue_bwv_884,1,1,Bach/Fugue/bwv_884/LiA01M.mid,Bach/Fugue/bwv_884/midi_score.mid,Bach/Fugue/bwv_884/xml_score.musicxml
train,BachFugue_bwv_885,Bach,Fugue_bwv_885,1,6,Bach/Fugue/bwv_885/Chon02.mid,Bach/Fugue/bwv_885/midi_score.mid,Bach/Fugue/bwv_885/xml_score.musicxml
train,BachFugue_bwv_885,Bach,Fugue_bwv_885,2,6,Bach/Fugue/bwv_885/Guo01M.mid,Bach/Fugue/bwv_885/midi_score.mid,Bach/Fugue/bwv_885/xml_score.musicxml
train,BachFugue_bwv_885,Bach,Fugue_bwv_885,3,6,Bach/Fugue/bwv_885/Huang04M.mid,Bach/Fugue/bwv_885/midi_score.mid,Bach/Fugue/bwv_885/xml_score.musicxml
train,BachFugue_bwv_885,Bach,Fugue_bwv_885,4,6,Bach/Fugue/bwv_885/JeonH01M.mid,Bach/Fugue/bwv_885/midi_score.mid,Bach/Fugue/bwv_885/xml_score.musicxml
train,BachFugue_bwv_885,Bach,Fugue_bwv_885,5,6,Bach/Fugue/bwv_885/SINKEV01.mid,Bach/Fugue/bwv_885/midi_score.mid,Bach/Fugue/bwv_885/xml_score.musicxml
train,BachFugue_bwv_885,Bach,Fugue_bwv_885,6,6,Bach/Fugue/bwv_885/SINKEV06.mid,Bach/Fugue/bwv_885/midi_score.mid,Bach/Fugue/bwv_885/xml_score.musicxml
test,BachFugue_bwv_887,Bach,Fugue_bwv_887,1,1,Bach/Fugue/bwv_887/LiYZ01M.mid,Bach/Fugue/bwv_887/midi_score.mid,Bach/Fugue/bwv_887/xml_score.musicxml
train,BachFugue_bwv_888,Bach,Fugue_bwv_888,1,1,Bach/Fugue/bwv_888/ZhaoK01M.mid,Bach/Fugue/bwv_888/midi_score.mid,Bach/Fugue/bwv_888/xml_score.musicxml
test,BachFugue_bwv_889,Bach,Fugue_bwv_889,1,6,Bach/Fugue/bwv_889/Giesbrecht01M.mid,Bach/Fugue/bwv_889/midi_score.mid,Bach/Fugue/bwv_889/xml_score.musicxml
test,BachFugue_bwv_889,Bach,Fugue_bwv_889,2,6,Bach/Fugue/bwv_889/LiuY01M.mid,Bach/Fugue/bwv_889/midi_score.mid,Bach/Fugue/bwv_889/xml_score.musicxml
test,BachFugue_bwv_889,Bach,Fugue_bwv_889,3,6,Bach/Fugue/bwv_889/MunA01M.mid,Bach/Fugue/bwv_889/midi_score.mid,Bach/Fugue/bwv_889/xml_score.musicxml
test,BachFugue_bwv_889,Bach,Fugue_bwv_889,4,6,Bach/Fugue/bwv_889/Wang01M.mid,Bach/Fugue/bwv_889/midi_score.mid,Bach/Fugue/bwv_889/xml_score.musicxml
test,BachFugue_bwv_889,Bach,Fugue_bwv_889,5,6,Bach/Fugue/bwv_889/YangY02M.mid,Bach/Fugue/bwv_889/midi_score.mid,Bach/Fugue/bwv_889/xml_score.musicxml
test,BachFugue_bwv_889,Bach,Fugue_bwv_889,6,6,Bach/Fugue/bwv_889/ZhangW02M.mid,Bach/Fugue/bwv_889/midi_score.mid,Bach/Fugue/bwv_889/xml_score.musicxml
train,BachFugue_bwv_891,Bach,Fugue_bwv_891,1,1,Bach/Fugue/bwv_891/Duepree06M.mid,Bach/Fugue/bwv_891/midi_score.mid,Bach/Fugue/bwv_891/xml_score.musicxml
validation,BachFugue_bwv_892,Bach,Fugue_bwv_892,1,2,Bach/Fugue/bwv_892/Hou01M.mid,Bach/Fugue/bwv_892/midi_score.mid,Bach/Fugue/bwv_892/xml_score.musicxml
validation,BachFugue_bwv_892,Bach,Fugue_bwv_892,2,2,Bach/Fugue/bwv_892/KabuliL01M.mid,Bach/Fugue/bwv_892/midi_score.mid,Bach/Fugue/bwv_892/xml_score.musicxml
test,BachFugue_bwv_893,Bach,Fugue_bwv_893,1,3,Bach/Fugue/bwv_893/Kleisen04M.mid,Bach/Fugue/bwv_893/midi_score.mid,Bach/Fugue/bwv_893/xml_score.musicxml
test,BachFugue_bwv_893,Bach,Fugue_bwv_893,2,3,Bach/Fugue/bwv_893/Levitsky04M.mid,Bach/Fugue/bwv_893/midi_score.mid,Bach/Fugue/bwv_893/xml_score.musicxml
test,BachFugue_bwv_893,Bach,Fugue_bwv_893,3,3,Bach/Fugue/bwv_893/Wong01M.mid,Bach/Fugue/bwv_893/midi_score.mid,Bach/Fugue/bwv_893/xml_score.musicxml
train,BachItalian_concerto,Bach,Italian_concerto,1,3,Bach/Italian_concerto/KyykhynenT03.mid,Bach/Italian_concerto/midi_score.mid,Bach/Italian_concerto/xml_score.musicxml
train,BachItalian_concerto,Bach,Italian_concerto,2,3,Bach/Italian_concerto/LeeN07.mid,Bach/Italian_concerto/midi_score.mid,Bach/Italian_concerto/xml_score.musicxml
train,BachItalian_concerto,Bach,Italian_concerto,3,3,Bach/Italian_concerto/TanakaM03.mid,Bach/Italian_concerto/midi_score.mid,Bach/Italian_concerto/xml_score.musicxml
train,BachPrelude_bwv_846,Bach,Prelude_bwv_846,1,1,Bach/Prelude/bwv_846/Shi05M.mid,Bach/Prelude/bwv_846/midi_score.mid,Bach/Prelude/bwv_846/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,1,9,Bach/Prelude/bwv_848/Denisova06M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,2,9,Bach/Prelude/bwv_848/Lee01M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,3,9,Bach/Prelude/bwv_848/LeeSH01M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,4,9,Bach/Prelude/bwv_848/Lin04M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,5,9,Bach/Prelude/bwv_848/Lou01M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,6,9,Bach/Prelude/bwv_848/MiyashitaM01M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,7,9,Bach/Prelude/bwv_848/Mizumoto03M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,8,9,Bach/Prelude/bwv_848/SunY01M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_848,Bach,Prelude_bwv_848,9,9,Bach/Prelude/bwv_848/Zhou01M.mid,Bach/Prelude/bwv_848/midi_score.mid,Bach/Prelude/bwv_848/xml_score.musicxml
train,BachPrelude_bwv_854,Bach,Prelude_bwv_854,1,5,Bach/Prelude/bwv_854/LuA01M.mid,Bach/Prelude/bwv_854/midi_score.mid,Bach/Prelude/bwv_854/xml_score.musicxml
train,BachPrelude_bwv_854,Bach,Prelude_bwv_854,2,5,Bach/Prelude/bwv_854/MiyashitaM01M.mid,Bach/Prelude/bwv_854/midi_score.mid,Bach/Prelude/bwv_854/xml_score.musicxml
train,BachPrelude_bwv_854,Bach,Prelude_bwv_854,3,5,Bach/Prelude/bwv_854/Ozaki01M.mid,Bach/Prelude/bwv_854/midi_score.mid,Bach/Prelude/bwv_854/xml_score.musicxml
train,BachPrelude_bwv_854,Bach,Prelude_bwv_854,4,5,Bach/Prelude/bwv_854/Richardson01M.mid,Bach/Prelude/bwv_854/midi_score.mid,Bach/Prelude/bwv_854/xml_score.musicxml
train,BachPrelude_bwv_854,Bach,Prelude_bwv_854,5,5,Bach/Prelude/bwv_854/WangA01M.mid,Bach/Prelude/bwv_854/midi_score.mid,Bach/Prelude/bwv_854/xml_score.musicxml
test,BachPrelude_bwv_856,Bach,Prelude_bwv_856,1,1,Bach/Prelude/bwv_856/LuoJ01M.mid,Bach/Prelude/bwv_856/midi_score.mid,Bach/Prelude/bwv_856/xml_score.musicxml
validation,BachPrelude_bwv_857,Bach,Prelude_bwv_857,1,6,Bach/Prelude/bwv_857/Bult-ItoS02M.mid,Bach/Prelude/bwv_857/midi_score.mid,Bach/Prelude/bwv_857/xml_score.musicxml
validation,BachPrelude_bwv_857,Bach,Prelude_bwv_857,2,6,Bach/Prelude/bwv_857/Lan01M.mid,Bach/Prelude/bwv_857/midi_score.mid,Bach/Prelude/bwv_857/xml_score.musicxml
validation,BachPrelude_bwv_857,Bach,Prelude_bwv_857,3,6,Bach/Prelude/bwv_857/Lisiecki04M.mid,Bach/Prelude/bwv_857/midi_score.mid,Bach/Prelude/bwv_857/xml_score.musicxml
validation,BachPrelude_bwv_857,Bach,Prelude_bwv_857,4,6,Bach/Prelude/bwv_857/ToA01M.mid,Bach/Prelude/bwv_857/midi_score.mid,Bach/Prelude/bwv_857/xml_score.musicxml
validation,BachPrelude_bwv_857,Bach,Prelude_bwv_857,5,6,Bach/Prelude/bwv_857/WangA01M.mid,Bach/Prelude/bwv_857/midi_score.mid,Bach/Prelude/bwv_857/xml_score.musicxml
validation,BachPrelude_bwv_857,Bach,Prelude_bwv_857,6,6,Bach/Prelude/bwv_857/YuP01M.mid,Bach/Prelude/bwv_857/midi_score.mid,Bach/Prelude/bwv_857/xml_score.musicxml
train,BachPrelude_bwv_858,Bach,Prelude_bwv_858,1,2,Bach/Prelude/bwv_858/VuV01M.mid,Bach/Prelude/bwv_858/midi_score.mid,Bach/Prelude/bwv_858/xml_score.musicxml
train,BachPrelude_bwv_858,Bach,Prelude_bwv_858,2,2,Bach/Prelude/bwv_858/Zhang01M.mid,Bach/Prelude/bwv_858/midi_score.mid,Bach/Prelude/bwv_858/xml_score.musicxml
train,BachPrelude_bwv_860,Bach,Prelude_bwv_860,1,6,Bach/Prelude/bwv_860/Ko04M.mid,Bach/Prelude/bwv_860/midi_score.mid,Bach/Prelude/bwv_860/xml_score.musicxml
train,BachPrelude_bwv_860,Bach,Prelude_bwv_860,2,6,Bach/Prelude/bwv_860/Nikiforov05M.mid,Bach/Prelude/bwv_860/midi_score.mid,Bach/Prelude/bwv_860/xml_score.musicxml
train,BachPrelude_bwv_860,Bach,Prelude_bwv_860,3,6,Bach/Prelude/bwv_860/Tetzloff04M.mid,Bach/Prelude/bwv_860/midi_score.mid,Bach/Prelude/bwv_860/xml_score.musicxml
train,BachPrelude_bwv_860,Bach,Prelude_bwv_860,4,6,Bach/Prelude/bwv_860/TuanS01M.mid,Bach/Prelude/bwv_860/midi_score.mid,Bach/Prelude/bwv_860/xml_score.musicxml
train,BachPrelude_bwv_860,Bach,Prelude_bwv_860,5,6,Bach/Prelude/bwv_860/YoungS01M.mid,Bach/Prelude/bwv_860/midi_score.mid,Bach/Prelude/bwv_860/xml_score.musicxml
train,BachPrelude_bwv_860,Bach,Prelude_bwv_860,6,6,Bach/Prelude/bwv_860/ZhangH04M.mid,Bach/Prelude/bwv_860/midi_score.mid,Bach/Prelude/bwv_860/xml_score.musicxml
test,BachPrelude_bwv_862,Bach,Prelude_bwv_862,1,1,Bach/Prelude/bwv_862/Song04M.mid,Bach/Prelude/bwv_862/midi_score.mid,Bach/Prelude/bwv_862/xml_score.musicxml
test,BachPrelude_bwv_863,Bach,Prelude_bwv_863,1,3,Bach/Prelude/bwv_863/LeeN01M.mid,Bach/Prelude/bwv_863/midi_score.mid,Bach/Prelude/bwv_863/xml_score.musicxml
test,BachPrelude_bwv_863,Bach,Prelude_bwv_863,2,3,Bach/Prelude/bwv_863/Shychko01M.mid,Bach/Prelude/bwv_863/midi_score.mid,Bach/Prelude/bwv_863/xml_score.musicxml
test,BachPrelude_bwv_863,Bach,Prelude_bwv_863,3,3,Bach/Prelude/bwv_863/TongB01M.mid,Bach/Prelude/bwv_863/midi_score.mid,Bach/Prelude/bwv_863/xml_score.musicxml
validation,BachPrelude_bwv_864,Bach,Prelude_bwv_864,1,1,Bach/Prelude/bwv_864/SunD01M.mid,Bach/Prelude/bwv_864/midi_score.mid,Bach/Prelude/bwv_864/xml_score.musicxml
train,BachPrelude_bwv_865,Bach,Prelude_bwv_865,1,3,Bach/Prelude/bwv_865/Rizikov01M.mid,Bach/Prelude/bwv_865/midi_score.mid,Bach/Prelude/bwv_865/xml_score.musicxml
train,BachPrelude_bwv_865,Bach,Prelude_bwv_865,2,3,Bach/Prelude/bwv_865/Teo01M.mid,Bach/Prelude/bwv_865/midi_score.mid,Bach/Prelude/bwv_865/xml_score.musicxml
train,BachPrelude_bwv_865,Bach,Prelude_bwv_865,3,3,Bach/Prelude/bwv_865/ZhangE01M.mid,Bach/Prelude/bwv_865/midi_score.mid,Bach/Prelude/bwv_865/xml_score.musicxml
train,BachPrelude_bwv_866,Bach,Prelude_bwv_866,1,1,Bach/Prelude/bwv_866/SOLOM02.mid,Bach/Prelude/bwv_866/midi_score.mid,Bach/Prelude/bwv_866/xml_score.musicxml
train,BachPrelude_bwv_867,Bach,Prelude_bwv_867,1,2,Bach/Prelude/bwv_867/HuNY01M.mid,Bach/Prelude/bwv_867/midi_score.mid,Bach/Prelude/bwv_867/xml_score.musicxml
train,BachPrelude_bwv_867,Bach,Prelude_bwv_867,2,2,Bach/Prelude/bwv_867/Sham01M.mid,Bach/Prelude/bwv_867/midi_score.mid,Bach/Prelude/bwv_867/xml_score.musicxml
train,BachPrelude_bwv_868,Bach,Prelude_bwv_868,1,1,Bach/Prelude/bwv_868/GonzalezJ05M.mid,Bach/Prelude/bwv_868/midi_score.mid,Bach/Prelude/bwv_868/xml_score.musicxml
validation,BachPrelude_bwv_870,Bach,Prelude_bwv_870,1,3,Bach/Prelude/bwv_870/ChenW01M.mid,Bach/Prelude/bwv_870/midi_score.mid,Bach/Prelude/bwv_870/xml_score.musicxml
