event_id,suggested_notation_decision,confidence,rationale
ChopinEtudes_op_25_10:LH:41:66.000000:2,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:47:66.000000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:47:66.375000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:47:66.625000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:47:67.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:47:67.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:47:67.500000:4,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:47:68.000000:4,0.375,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:47:68.666667:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:47:69.500000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:47:70.625000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:48:58.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:48:59.125000:2,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:48:61.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:48:62.500000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:48:63.750000:2,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:48:70.875000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:49:56.625000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:49:58.000000:3,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:49:59.500000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:49:60.000000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:49:61.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:49:62.875000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:49:63.500000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:49:65.500000:1,2.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:49:66.000000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:49:66.333333:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:49:66.625000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:49:67.000000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:49:67.125000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:49:67.500000:1,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:49:68.000000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:49:68.250000:1,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:49:68.625000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:49:71.125000:4,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:50:56.333333:3,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:50:59.750000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:50:61.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:50:63.250000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:50:71.500000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:51:62.625000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:51:63.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:51:63.333333:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:51:64.125000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:51:71.750000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:52:56.125000:3,0.208333,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:52:62.125000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:58.125000:1,2.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:53:59.125000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:59.500000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:59.750000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:60.000000:1,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:53:60.625000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:60.875000:1,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:53:61.500000:1,0.5,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:62.125000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:62.333333:1,0.166667,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:62.500000:1,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:62.875000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:63.500000:1,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:53:63.875000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:66.000000:3,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:53:67.125000:3,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:53:68.250000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:54:56.375000:1,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:54:65.500000:3,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:54:66.333333:3,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:54:66.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:54:67.500000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:54:68.000000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:54:68.625000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:54:69.125000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:55:58.250000:3,2.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:55:58.666667:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:59.000000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:59.250000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:59.750000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:60.125000:3,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:55:60.375000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:60.625000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:60.875000:3,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:55:61.250000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:61.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:61.750000:3,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:55:62.333333:1,0.166667,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:62.500000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:55:62.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:55:63.250000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:55:63.500000:3,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:55:65.000000:3,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:55:66.625000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:55:67.750000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:55:68.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:57:70.000000:3,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:58:57.250000:1,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:58:58.625000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:58:60.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:58:62.000000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:58:64.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:58:64.375000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:58:69.750000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:58:70.333333:3,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:59:56.875000:1,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:59:57.500000:1,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:59:58.125000:2,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:LH:59:58.875000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:59:60.625000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:59:61.125000:3,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:LH:59:61.750000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:59:62.250000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:59:64.750000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:59:69.500000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:LH:59:70.625000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:60:59.125000:4,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:60:60.333333:4,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:60:62.500000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:60:63.750000:3,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:60:64.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:60:70.875000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:61:56.625000:3,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:61:57.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:61:59.500000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:61:60.000000:4,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:61:61.500000:4,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:61:62.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:61:63.500000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:61:71.125000:5,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:62:56.333333:3,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:62:59.750000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:62:63.125000:3,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:62:71.500000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:63:71.750000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:64:56.125000:3,0.208333,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:65:65.125000:5,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:65:66.625000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:65:67.750000:5,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:65:68.875000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:65:70.000000:5,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:65:71.125000:5,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:65.500000:5,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:66:66.333333:5,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:66.875000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:67.500000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:68.125000:5,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:66:68.625000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:69.125000:5,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:69.750000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:70.333333:5,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:70.875000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:66:71.500000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:67:65.125000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:67:66.000000:5,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:67:67.125000:5,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:67:68.250000:5,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:67:69.500000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:67:70.625000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:67:71.750000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:70:57.250000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:70:58.625000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:70:60.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:70:62.000000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:70:64.125000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:70:64.375000:5,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:71:56.875000:4,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:71:57.500000:4,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:71:58.125000:4,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:71:58.875000:4,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:71:60.625000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:71:61.125000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:71:61.750000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:71:62.250000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:71:63.750000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:71:64.750000:5,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:71:65.500000:2,2.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:71:66.000000:2,0.5,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:71:66.666667:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:71:67.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:71:67.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:71:67.500000:2,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:71:67.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:71:68.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:71:68.250000:2,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:72:58.250000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:72:59.000000:4,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:72:59.125000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:72:60.333333:3,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:72:62.500000:2,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:72:63.750000:5,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:72:68.666667:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:73:56.625000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:73:57.875000:4,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:73:59.500000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:73:60.000000:3,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:73:61.500000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:73:62.875000:2,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:73:63.500000:5,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:73:65.500000:4,2.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:73:66.000000:4,0.333333,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:73:66.333333:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:73:66.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:73:67.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:73:67.500000:4,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:73:68.000000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:73:68.250000:4,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:73:68.625000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:74:56.333333:4,0.291667,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:74:59.750000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:74:63.125000:2,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:75:63.500000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:75:65.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:75:66.666667:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:75:67.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:76:56.125000:4,0.208333,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:77:56.125000:4,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:58.125000:2,2.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:77:58.875000:2,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:59.125000:3,0.25,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:59.500000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:59.750000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:60.000000:5,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:77:60.333333:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:60.625000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:60.875000:5,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:77:61.500000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:61.750000:2,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:77:62.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:62.250000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:62.500000:5,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:62.875000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:63.125000:5,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:63.500000:4,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:77:65.125000:2,0.125,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:77:66.625000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:77:68.875000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:77:70.000000:3,0.333333,high,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:77:71.125000:3,0.375,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:78:56.333333:4,1.0,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:78:65.500000:5,0.25,low,no clean reference; shortest readable candidate >= key_duration
ChopinEtudes_op_25_10:RH:78:66.375000:3,0.25,medium,reference=0.333333333; best candidate match
ChopinEtudes_op_25_10:RH:78:67.000000:3,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:78:67.500000:3,0.333,medium,reference not among candidates; write explicit duration
ChopinEtudes_op_25_10:RH:78:68.000000:3,0.25,medium,reference=0.333333333; best candidate match
