folder,composer,title,pedal_starts,pedal_stops,pedal_changes,pedal_other,measures_with_pedal,sample_measures
Beethoven/Piano_Sonatas/15-1/xml_score.musicxml,Beethoven,Piano_Sonatas/15-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/15-4/xml_score.musicxml,Beethoven,Piano_Sonatas/15-4,0,0,0,0,0,
Beethoven/Piano_Sonatas/16-1/xml_score.musicxml,Beethoven,Piano_Sonatas/16-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/16-2/xml_score.musicxml,Beethoven,Piano_Sonatas/16-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/17-1/xml_score.musicxml,Beethoven,Piano_Sonatas/17-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/17-1_no_repeat/xml_score.musicxml,Beethoven,Piano_Sonatas/17-1_no_repeat,0,0,0,0,0,
Beethoven/Piano_Sonatas/17-2/xml_score.musicxml,Beethoven,Piano_Sonatas/17-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/17-3/xml_score.musicxml,Beethoven,Piano_Sonatas/17-3,0,0,0,0,0,
Beethoven/Piano_Sonatas/18-1/xml_score.musicxml,Beethoven,Piano_Sonatas/18-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/18-2/xml_score.musicxml,Beethoven,Piano_Sonatas/18-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/18-2_no_repeat/xml_score.musicxml,Beethoven,Piano_Sonatas/18-2_no_repeat,0,0,0,0,0,
Beethoven/Piano_Sonatas/18-3/xml_score.musicxml,Beethoven,Piano_Sonatas/18-3,0,0,0,0,0,
Beethoven/Piano_Sonatas/18-4/xml_score.musicxml,Beethoven,Piano_Sonatas/18-4,0,0,0,0,0,
Beethoven/Piano_Sonatas/2-1/xml_score.musicxml,Beethoven,Piano_Sonatas/2-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/21-1/xml_score.musicxml,Beethoven,Piano_Sonatas/21-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/21-1_no_repeat/xml_score.musicxml,Beethoven,Piano_Sonatas/21-1_no_repeat,0,0,0,0,0,
Beethoven/Piano_Sonatas/21-2/xml_score.musicxml,Beethoven,Piano_Sonatas/21-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/21-3/xml_score.musicxml,Beethoven,Piano_Sonatas/21-3,0,7,0,0,7,"8:{'stop': 1}, 101:{'stop': 1}, 105:{'stop': 1}, 121:{'stop': 1}, 395:{'stop': 1}, 397:{'stop': 1}, 399:{'stop': 1}"
Beethoven/Piano_Sonatas/22-1/xml_score.musicxml,Beethoven,Piano_Sonatas/22-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/22-2/xml_score.musicxml,Beethoven,Piano_Sonatas/22-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/23-1/xml_score.musicxml,Beethoven,Piano_Sonatas/23-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/24-1/xml_score.musicxml,Beethoven,Piano_Sonatas/24-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/24-1_no_2_repeat/xml_score.musicxml,Beethoven,Piano_Sonatas/24-1_no_2_repeat,0,0,0,0,0,
Beethoven/Piano_Sonatas/24-1_no_repeat/xml_score.musicxml,Beethoven,Piano_Sonatas/24-1_no_repeat,0,0,0,0,0,
Beethoven/Piano_Sonatas/24-2/xml_score.musicxml,Beethoven,Piano_Sonatas/24-2,0,2,0,0,2,"133:{'stop': 1}, 177:{'stop': 1}"
Beethoven/Piano_Sonatas/26-1/xml_score.musicxml,Beethoven,Piano_Sonatas/26-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/26-1_no_repeat/xml_score.musicxml,Beethoven,Piano_Sonatas/26-1_no_repeat,0,0,0,0,0,
Beethoven/Piano_Sonatas/26-2/xml_score.musicxml,Beethoven,Piano_Sonatas/26-2,1,2,0,0,3,"38:{'stop': 1}, 39:{'start': 1}, 40:{'stop': 1}"
Beethoven/Piano_Sonatas/26-3/xml_score.musicxml,Beethoven,Piano_Sonatas/26-3,0,0,0,0,0,
Beethoven/Piano_Sonatas/27-1/xml_score.musicxml,Beethoven,Piano_Sonatas/27-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/27-2/xml_score.musicxml,Beethoven,Piano_Sonatas/27-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/28-1/xml_score.musicxml,Beethoven,Piano_Sonatas/28-1,0,2,0,0,2,"96:{'stop': 1}, 97:{'stop': 1}"
Beethoven/Piano_Sonatas/28-2/xml_score.musicxml,Beethoven,Piano_Sonatas/28-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/29-2/xml_score.musicxml,Beethoven,Piano_Sonatas/29-2,2,2,0,0,4,"26:{'stop': 1}, 55:{'start': 1}, 62:{'start': 1}, 115:{'stop': 1}"
Beethoven/Piano_Sonatas/29-3/xml_score.musicxml,Beethoven,Piano_Sonatas/29-3,1,5,0,0,5,"59:{'stop': 2}, 72:{'stop': 1}, 85:{'start': 1}, 144:{'stop': 1}, 187:{'stop': 1}"
Beethoven/Piano_Sonatas/29-4/xml_score.musicxml,Beethoven,Piano_Sonatas/29-4,10,12,0,0,10,"1:{'stop': 3, 'start': 1}, 3:{'start': 2}, 5:{'start': 3, 'stop': 1}, 11:{'stop': 3, 'start': 1}, 16:{'start': 2, 'stop': 1}, 389:{'start': 1}, 390:{'stop': 1}, 403:{'stop': 1}, 404:{'stop': 1}, 405:{'stop': 1}"
Beethoven/Piano_Sonatas/3-1/xml_score.musicxml,Beethoven,Piano_Sonatas/3-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/3-2/xml_score.musicxml,Beethoven,Piano_Sonatas/3-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/30-1/xml_score.musicxml,Beethoven,Piano_Sonatas/30-1,6,6,0,0,6,"12:{'start': 1, 'stop': 1}, 13:{'start': 1, 'stop': 1}, 62:{'start': 1, 'stop': 1}, 63:{'start': 2, 'stop': 1}, 64:{'stop': 1}, 100:{'start': 1, 'stop': 1}"
Beethoven/Piano_Sonatas/31-1/xml_score.musicxml,Beethoven,Piano_Sonatas/31-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/31-2/xml_score.musicxml,Beethoven,Piano_Sonatas/31-2,2,7,0,0,9,"52:{'stop': 1}, 60:{'stop': 1}, 68:{'stop': 1}, 76:{'stop': 1}, 77:{'start': 1}, 79:{'stop': 1}, 85:{'start': 1}, 87:{'stop': 1}, 162:{'stop': 1}"
Beethoven/Piano_Sonatas/31-3_4/xml_score.musicxml,Beethoven,Piano_Sonatas/31-3_4,2,3,0,0,4,"4:{'start': 1, 'stop': 1}, 5:{'start': 1}, 6:{'stop': 1}, 141:{'stop': 1}"
Beethoven/Piano_Sonatas/32-1/xml_score.musicxml,Beethoven,Piano_Sonatas/32-1,3,4,0,0,4,"2:{'start': 1, 'stop': 1}, 4:{'start': 1, 'stop': 1}, 99:{'start': 1, 'stop': 1}, 115:{'stop': 1}"
Beethoven/Piano_Sonatas/4-1/xml_score.musicxml,Beethoven,Piano_Sonatas/4-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/5-1/xml_score.musicxml,Beethoven,Piano_Sonatas/5-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/7-1/xml_score.musicxml,Beethoven,Piano_Sonatas/7-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/7-2/xml_score.musicxml,Beethoven,Piano_Sonatas/7-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/7-3/xml_score.musicxml,Beethoven,Piano_Sonatas/7-3,0,0,0,0,0,
Beethoven/Piano_Sonatas/7-4/xml_score.musicxml,Beethoven,Piano_Sonatas/7-4,0,0,0,0,0,
Beethoven/Piano_Sonatas/8-1/xml_score.musicxml,Beethoven,Piano_Sonatas/8-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/8-2/xml_score.musicxml,Beethoven,Piano_Sonatas/8-2,0,0,0,0,0,
Beethoven/Piano_Sonatas/8-3/xml_score.musicxml,Beethoven,Piano_Sonatas/8-3,0,0,0,0,0,
Beethoven/Piano_Sonatas/9-1/xml_score.musicxml,Beethoven,Piano_Sonatas/9-1,0,0,0,0,0,
Beethoven/Piano_Sonatas/9-2_no_trio/xml_score.musicxml,Beethoven,Piano_Sonatas/9-2_no_trio,0,0,0,0,0,
Beethoven/Piano_Sonatas/9-3/xml_score.musicxml,Beethoven,Piano_Sonatas/9-3,0,0,0,0,0,
Brahms/Six_Pieces_op_118/2/xml_score.musicxml,Brahms,Six_Pieces_op_118/2,1,1,0,0,1,"7:{'start': 1, 'stop': 1}"
Chopin/Ballades/1/xml_score.musicxml,Chopin,Ballades/1,242,223,0,0,186,"7:{'start': 1}, 8:{'stop': 2, 'start': 1}, 32:{'start': 1, 'stop': 1}, 33:{'stop': 1, 'start': 1}, 34:{'start': 2, 'stop': 1}, 35:{'start': 1, 'stop': 1}, 36:{'stop': 2, 'start': 2}, 37:{'stop': 2, 'start': 2}, 38:{'stop': 2, 'start': 2}, 39:{'stop': 2, 'start': 2}"
Chopin/Ballades/2/xml_score.musicxml,Chopin,Ballades/2,0,0,0,0,0,
Chopin/Ballades/3/xml_score.musicxml,Chopin,Ballades/3,240,240,0,0,190,"9:{'start': 1, 'stop': 1}, 10:{'start': 1, 'stop': 1}, 11:{'start': 1, 'stop': 1}, 12:{'start': 1, 'stop': 1}, 13:{'start': 1, 'stop': 1}, 14:{'start': 1, 'stop': 1}, 15:{'start': 1, 'stop': 1}, 16:{'start': 1, 'stop': 1}, 17:{'start': 1, 'stop': 1}, 18:{'start': 1, 'stop': 1}"
Chopin/Ballades/4/xml_score.musicxml,Chopin,Ballades/4,0,0,0,0,0,
Chopin/Barcarolle/xml_score.musicxml,Chopin,Barcarolle,246,209,0,0,107,"1:{'start': 1, 'stop': 1}, 2:{'start': 4, 'stop': 3}, 3:{'stop': 3, 'start': 2}, 4:{'start': 1, 'stop': 2}, 5:{'stop': 1, 'start': 1}, 6:{'stop': 2, 'start': 2}, 7:{'stop': 1, 'start': 1}, 8:{'stop': 2, 'start': 2}, 9:{'stop': 2, 'start': 1}, 10:{'start': 2, 'stop': 2}"
Chopin/Berceuse_op_57/xml_score.musicxml,Chopin,Berceuse_op_57,0,0,0,0,0,
Chopin/Etudes_op_10/1/xml_score.musicxml,Chopin,Etudes_op_10/1,1,4,0,0,5,"2:{'stop': 1}, 10:{'stop': 1}, 35:{'start': 1}, 36:{'stop': 1}, 39:{'stop': 1}"
Chopin/Etudes_op_10/10/xml_score.musicxml,Chopin,Etudes_op_10/10,143,143,0,0,75,"1:{'start': 2, 'stop': 2}, 2:{'start': 2, 'stop': 2}, 3:{'start': 2, 'stop': 2}, 4:{'start': 2, 'stop': 2}, 5:{'start': 2, 'stop': 2}, 6:{'start': 2, 'stop': 2}, 7:{'start': 3, 'stop': 3}, 8:{'start': 3, 'stop': 3}, 9:{'start': 2, 'stop': 2}, 10:{'start': 2, 'stop': 2}"
Chopin/Etudes_op_10/12/xml_score.musicxml,Chopin,Etudes_op_10/12,0,0,0,0,0,
Chopin/Etudes_op_10/2/xml_score.musicxml,Chopin,Etudes_op_10/2,0,0,0,0,0,
Chopin/Etudes_op_10/3/xml_score.musicxml,Chopin,Etudes_op_10/3,0,0,0,0,0,
Chopin/Etudes_op_10/4/xml_score.musicxml,Chopin,Etudes_op_10/4,0,0,0,0,0,
Chopin/Etudes_op_10/5/xml_score.musicxml,Chopin,Etudes_op_10/5,2,11,0,0,10,"4:{'stop': 1}, 8:{'stop': 1}, 12:{'stop': 1}, 16:{'stop': 1}, 24:{'stop': 1}, 36:{'stop': 1}, 40:{'stop': 1}, 64:{'stop': 1}, 65:{'stop': 1}, 66:{'start': 2, 'stop': 2}"
Chopin/Etudes_op_10/7/xml_score.musicxml,Chopin,Etudes_op_10/7,9,9,0,0,10,"16:{'start': 1, 'stop': 1}, 17:{'start': 1, 'stop': 1}, 18:{'start': 1, 'stop': 1}, 19:{'start': 1, 'stop': 1}, 20:{'start': 1, 'stop': 1}, 21:{'start': 1, 'stop': 1}, 23:{'start': 1, 'stop': 1}, 43:{'start': 1, 'stop': 1}, 56:{'start': 1}, 58:{'stop': 1}"
Chopin/Etudes_op_10/8/xml_score.musicxml,Chopin,Etudes_op_10/8,37,35,0,0,36,"8:{'start': 1, 'stop': 1}, 9:{'start': 2, 'stop': 2}, 10:{'stop': 2, 'start': 2}, 15:{'start': 1}, 22:{'start': 1, 'stop': 1}, 23:{'stop': 2, 'start': 2}, 24:{'start': 2, 'stop': 2}, 25:{'start': 1, 'stop': 1}, 27:{'start': 1, 'stop': 1}, 29:{'start': 1}"
Chopin/Etudes_op_25/1/xml_score.musicxml,Chopin,Etudes_op_25/1,96,86,0,0,43,"2:{'stop': 2, 'start': 1}, 3:{'start': 1, 'stop': 1}, 4:{'start': 2, 'stop': 2}, 5:{'stop': 2, 'start': 1}, 6:{'start': 4, 'stop': 4}, 7:{'stop': 2, 'start': 2}, 8:{'start': 3, 'stop': 3}, 10:{'stop': 2, 'start': 1}, 11:{'start': 2, 'stop': 2}, 12:{'start': 2, 'stop': 2}"
Chopin/Etudes_op_25/10/xml_score.musicxml,Chopin,Etudes_op_25/10,0,0,0,0,0,
Chopin/Etudes_op_25/11/xml_score.musicxml,Chopin,Etudes_op_25/11,0,0,0,0,0,
Chopin/Etudes_op_25/12/xml_score.musicxml,Chopin,Etudes_op_25/12,0,1,0,0,1,83:{'stop': 1}
Chopin/Etudes_op_25/2/xml_score.musicxml,Chopin,Etudes_op_25/2,0,0,0,0,0,
Chopin/Etudes_op_25/4/xml_score.musicxml,Chopin,Etudes_op_25/4,0,0,0,0,0,
Chopin/Etudes_op_25/5/xml_score.musicxml,Chopin,Etudes_op_25/5,61,58,0,0,63,"14:{'stop': 2, 'start': 2}, 15:{'start': 1, 'stop': 1}, 17:{'stop': 1, 'start': 1}, 18:{'start': 1, 'stop': 1}, 19:{'start': 1, 'stop': 1}, 20:{'stop': 1, 'start': 1}, 21:{'start': 1, 'stop': 1}, 22:{'start': 1, 'stop': 1}, 23:{'start': 1, 'stop': 1}, 24:{'start': 1, 'stop': 1}"
Chopin/Etudes_op_25/8/xml_score.musicxml,Chopin,Etudes_op_25/8,48,48,0,0,23,"1:{'start': 2, 'stop': 2}, 2:{'start': 2, 'stop': 2}, 3:{'start': 3, 'stop': 3}, 4:{'start': 1, 'stop': 1}, 5:{'start': 2, 'stop': 2}, 6:{'start': 2, 'stop': 2}, 7:{'start': 2, 'stop': 2}, 8:{'start': 2, 'stop': 2}, 9:{'start': 2, 'stop': 2}, 10:{'start': 2, 'stop': 2}"
Chopin/Polonaises/53/xml_score.musicxml,Chopin,Polonaises/53,0,0,0,0,0,
Chopin/Scherzos/20/xml_score.musicxml,Chopin,Scherzos/20,210,210,0,0,235,"1:{'start': 1}, 4:{'stop': 1}, 5:{'start': 1}, 8:{'stop': 1}, 62:{'start': 1}, 63:{'stop': 1}, 85:{'start': 1}, 86:{'stop': 1}, 87:{'start': 1, 'stop': 1}, 88:{'start': 1, 'stop': 1}"
Chopin/Scherzos/31/xml_score.musicxml,Chopin,Scherzos/31,250,229,0,0,360,"5:{'start': 1}, 8:{'stop': 1}, 13:{'start': 1}, 15:{'stop': 1}, 16:{'start': 1, 'stop': 1}, 18:{'start': 1}, 19:{'stop': 1}, 29:{'start': 1}, 32:{'stop': 1}, 37:{'start': 1}"
Chopin/Scherzos/39/xml_score.musicxml,Chopin,Scherzos/39,118,118,0,0,150,"159:{'start': 1}, 163:{'stop': 1}, 167:{'start': 1}, 171:{'stop': 1}, 175:{'start': 1}, 179:{'stop': 1}, 183:{'start': 1}, 186:{'stop': 1}, 187:{'start': 1}, 190:{'stop': 1}"
Chopin/Sonata_2/1st_no_repeat/xml_score.musicxml,Chopin,Sonata_2/1st_no_repeat,0,1,0,0,1,227:{'stop': 1}
Chopin/Sonata_2/2nd/xml_score.musicxml,Chopin,Sonata_2/2nd,0,1,0,0,1,289:{'stop': 1}
Chopin/Sonata_2/2nd_no_repeat/xml_score.musicxml,Chopin,Sonata_2/2nd_no_repeat,0,1,0,0,1,286:{'stop': 1}
Chopin/Sonata_2/3rd/xml_score.musicxml,Chopin,Sonata_2/3rd,0,0,0,0,0,
Chopin/Sonata_2/3rd_no_repeat/xml_score.musicxml,Chopin,Sonata_2/3rd_no_repeat,0,0,0,0,0,
Chopin/Sonata_2/4th/xml_score.musicxml,Chopin,Sonata_2/4th,0,0,0,0,0,
Chopin/Sonata_3/2nd/xml_score.musicxml,Chopin,Sonata_3/2nd,0,42,0,0,42,"2:{'stop': 1}, 4:{'stop': 1}, 6:{'stop': 1}, 10:{'stop': 1}, 12:{'stop': 1}, 14:{'stop': 1}, 18:{'stop': 1}, 20:{'stop': 1}, 22:{'stop': 1}, 24:{'stop': 1}"
Chopin/Sonata_3/3rd/xml_score.musicxml,Chopin,Sonata_3/3rd,8,12,0,0,16,"6:{'stop': 1}, 19:{'stop': 1}, 20:{'start': 1}, 22:{'start': 1}, 32:{'stop': 1}, 36:{'stop': 1}, 48:{'stop': 1}, 52:{'stop': 1}, 78:{'stop': 2}, 82:{'stop': 1}"
Chopin/Sonata_3/4th/xml_score.musicxml,Chopin,Sonata_3/4th,0,14,0,0,13,"65:{'stop': 1}, 66:{'stop': 2}, 67:{'stop': 1}, 69:{'stop': 1}, 71:{'stop': 1}, 76:{'stop': 1}, 161:{'stop': 1}, 189:{'stop': 1}, 200:{'stop': 1}, 257:{'stop': 1}"
Debussy/Images_Book_1/1_Reflets_dans_lEau/xml_score.musicxml,Debussy,Images_Book_1/1_Reflets_dans_lEau,5,5,0,0,5,"36:{'start': 1, 'stop': 1}, 37:{'start': 1, 'stop': 1}, 40:{'start': 1, 'stop': 1}, 41:{'start': 1, 'stop': 1}, 57:{'start': 1, 'stop': 1}"
Debussy/Pour_le_Piano/1/xml_score.musicxml,Debussy,Pour_le_Piano/1,0,0,0,0,0,
Glinka/The_Lark/xml_score.musicxml,Glinka,The_Lark,0,0,0,0,0,
Haydn/Keyboard_Sonatas/31-1/xml_score.musicxml,Haydn,Keyboard_Sonatas/31-1,0,0,0,0,0,
Haydn/Keyboard_Sonatas/32-1/xml_score.musicxml,Haydn,Keyboard_Sonatas/32-1,0,0,0,0,0,
Haydn/Keyboard_Sonatas/32-1_no_repeat/xml_score.musicxml,Haydn,Keyboard_Sonatas/32-1_no_repeat,0,0,0,0,0,
Haydn/Keyboard_Sonatas/39-1/xml_score.musicxml,Haydn,Keyboard_Sonatas/39-1,0,0,0,0,0,
Haydn/Keyboard_Sonatas/39-2/xml_score.musicxml,Haydn,Keyboard_Sonatas/39-2,0,0,0,0,0,
Haydn/Keyboard_Sonatas/39-3/xml_score.musicxml,Haydn,Keyboard_Sonatas/39-3,0,0,0,0,0,
Haydn/Keyboard_Sonatas/46-1/xml_score.musicxml,Haydn,Keyboard_Sonatas/46-1,0,0,0,0,0,
Haydn/Keyboard_Sonatas/48-1/xml_score.musicxml,Haydn,Keyboard_Sonatas/48-1,0,0,0,0,0,
Haydn/Keyboard_Sonatas/48-2/xml_score.musicxml,Haydn,Keyboard_Sonatas/48-2,0,0,0,0,0,
Haydn/Keyboard_Sonatas/49-1/xml_score.musicxml,Haydn,Keyboard_Sonatas/49-1,0,0,0,0,0,
Haydn/Keyboard_Sonatas/50-1_no_repeat/xml_score.musicxml,Haydn,Keyboard_Sonatas/50-1_no_repeat,0,0,0,0,0,
Haydn/Keyboard_Sonatas/6-1/xml_score.musicxml,Haydn,Keyboard_Sonatas/6-1,0,0,0,0,0,
