segment_id,row_no,event_id,hand,pitch,onset_ql,onset_location,groups,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note,baseline_published_score_pedal,review_priority,reference_tie_start
Ravel_Miroirs_3_Une_Barque_181,50,RavelMiroirs_3_Une_Barque:RH:103:364.000000:2,RH,103,364.0,m.183 beat 1.000,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Ravel_Miroirs_3_Une_Barque_181,55,RavelMiroirs_3_Une_Barque:RH:103:365.750000:4,RH,103,365.75,m.183 beat 2.750,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,stop,medium,
Ravel_Miroirs_3_Une_Barque_181,56,RavelMiroirs_3_Une_Barque:RH:103:366.000000:4,RH,103,366.0,m.184 beat 1.000,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,stop,medium,
Ravel_Miroirs_3_Une_Barque_181,58,RavelMiroirs_3_Une_Barque:RH:103:366.750000:4,RH,103,366.75,m.184 beat 1.750,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,start,medium,
Ravel_Miroirs_3_Une_Barque_181,59,RavelMiroirs_3_Une_Barque:RH:103:367.125000:4,RH,103,367.125,m.184 beat 2.125,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,start,medium,
Ravel_Miroirs_3_Une_Barque_181,65,RavelMiroirs_3_Une_Barque:RH:62:364.250000:1,RH,62,364.25,m.183 beat 1.250,F,yes,hold,none,0.083333333,,routine; written duration follows score/readability,change,medium,0
Ravel_Miroirs_3_Une_Barque_181,67,RavelMiroirs_3_Une_Barque:RH:62:366.250000:1,RH,62,366.25,m.184 beat 1.250,F,yes,hold,none,0.083333333,,routine; written duration follows score/readability,stop,medium,0
Ravel_Miroirs_3_Une_Barque_181,77,RavelMiroirs_3_Une_Barque:RH:74:366.750000:1,RH,74,366.75,m.184 beat 1.750,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,start,medium,
Ravel_Miroirs_3_Une_Barque_181,79,RavelMiroirs_3_Une_Barque:RH:77:366.875000:1,RH,77,366.875,m.184 beat 1.875,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,start,medium,
Ravel_Miroirs_3_Une_Barque_181,80,RavelMiroirs_3_Une_Barque:RH:82:367.250000:1,RH,82,367.25,m.184 beat 2.250,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,start,medium,
Ravel_Miroirs_3_Une_Barque_181,90,RavelMiroirs_3_Une_Barque:RH:89:363.875000:4,RH,89,363.875,m.182 beat 2.875,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Ravel_Miroirs_3_Une_Barque_181,91,RavelMiroirs_3_Une_Barque:RH:89:364.250000:5,RH,89,364.25,m.183 beat 1.250,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Ravel_Miroirs_3_Une_Barque_181,96,RavelMiroirs_3_Une_Barque:RH:89:365.875000:2,RH,89,365.875,m.183 beat 2.875,F,yes,hold,none,0.333333333,notation-shortening,reference duration 0.333333333; shorten acoustic extension to 0.333333333 (score convention; pedal carries the tail),stop,medium,0
Ravel_Miroirs_3_Une_Barque_181,97,RavelMiroirs_3_Une_Barque:RH:89:366.250000:2,RH,89,366.25,m.184 beat 1.250,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,stop,medium,
Ravel_Miroirs_3_Une_Barque_181,108,RavelMiroirs_3_Une_Barque:RH:91:363.875000:4,RH,91,363.875,m.182 beat 2.875,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Ravel_Miroirs_3_Une_Barque_181,109,RavelMiroirs_3_Une_Barque:RH:91:364.250000:5,RH,91,364.25,m.183 beat 1.250,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Ravel_Miroirs_3_Une_Barque_181,114,RavelMiroirs_3_Une_Barque:RH:91:365.875000:2,RH,91,365.875,m.183 beat 2.875,F,yes,hold,none,0.333333333,notation-shortening,reference duration 0.333333333; shorten acoustic extension to 0.333333333 (score convention; pedal carries the tail),stop,medium,0
Ravel_Miroirs_3_Une_Barque_181,115,RavelMiroirs_3_Une_Barque:RH:91:366.250000:2,RH,91,366.25,m.184 beat 1.250,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,stop,medium,
Ravel_Miroirs_3_Une_Barque_181,128,RavelMiroirs_3_Une_Barque:RH:98:363.875000:5,RH,98,363.875,m.182 beat 2.875,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,change,medium,
Ravel_Miroirs_3_Une_Barque_181,129,RavelMiroirs_3_Une_Barque:RH:98:364.250000:4,RH,98,364.25,m.183 beat 1.250,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,change,medium,
Ravel_Miroirs_3_Une_Barque_181,134,RavelMiroirs_3_Une_Barque:RH:98:365.875000:5,RH,98,365.875,m.183 beat 2.875,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,stop,medium,
Ravel_Miroirs_3_Une_Barque_181,135,RavelMiroirs_3_Une_Barque:RH:98:366.250000:5,RH,98,366.25,m.184 beat 1.250,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,stop,medium,
Ravel_Miroirs_3_Une_Barque_181,137,RavelMiroirs_3_Une_Barque:RH:98:367.000000:5,RH,98,367.0,m.184 beat 2.000,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,start,medium,
