segment_id,row_no,event_id,hand,pitch,onset_ql,onset_location,groups,acoustic_sustain,performance_pedal_action,published_score_pedal,notation_decision,review_class,review_note,baseline_published_score_pedal,review_priority,reference_tie_start
Chopin_Scherzos_20_254,191,ChopinScherzos_20:RH:86:1020.375000:6,RH,86,1020.375,m.256 beat 1.375,F,yes,hold,stop,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),none,medium,0
Chopin_Scherzos_20_254,198,ChopinScherzos_20:RH:88:1014.000000:8,RH,88,1014.0,m.254 beat 3.000,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,202,ChopinScherzos_20:RH:89:1012.000000:8,RH,89,1012.0,m.254 beat 1.000,U,uncertain,uncertain,none,0.125,pedal-only,pedal carries sustain; keep short written note,,medium,
Chopin_Scherzos_20_254,207,ChopinScherzos_20:RH:89:1014.000000:8,RH,89,1014.0,m.254 beat 3.000,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,213,ChopinScherzos_20:RH:90:1020.000000:6,RH,90,1020.0,m.256 beat 1.000,F,yes,hold,none,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,214,ChopinScherzos_20:RH:90:1020.375000:6,RH,90,1020.375,m.256 beat 1.375,F,yes,hold,stop,0.5,notation-shortening,reference duration 0.5; shorten acoustic extension to 0.5 (score convention; pedal carries the tail),none,medium,0
Chopin_Scherzos_20_254,219,ChopinScherzos_20:RH:91:1014.000000:8,RH,91,1014.0,m.254 beat 3.000,F,yes,hold,none,3.0,notation-shortening,reference duration 3.0; shorten acoustic extension to 3.0 (score convention; pedal carries the tail),change,medium,0
Chopin_Scherzos_20_254,222,ChopinScherzos_20:RH:91:1017.000000:8,RH,91,1017.0,m.255 beat 2.000,F,yes,hold,none,0.25,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,223,ChopinScherzos_20:RH:92:1017.000000:6,RH,92,1017.0,m.255 beat 2.000,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,226,ChopinScherzos_20:RH:93:1017.125000:6,RH,93,1017.125,m.255 beat 2.125,F,yes,hold,none,0.125,pedal-only,pedal carries sustain; keep short written note,change,medium,
Chopin_Scherzos_20_254,230,ChopinScherzos_20:RH:95:1017.875000:6,RH,95,1017.875,m.255 beat 2.875,F,yes,change,change,1.0,notation-shortening,reference duration 1.0; shorten acoustic extension to 1.0 (score convention; pedal carries the tail),none,medium,0
