event_id,suggested_notation_decision,confidence,rationale
LisztMephisto_Waltz:RH:62:890.750000:4,0.375,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:62:891.750000:4,0.625,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:62:892.625000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:62:892.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:63:892.375000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:63:894.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:63:895.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:63:895.750000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:63:897.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:63:898.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:63:898.375000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:63:899.500000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:64:894.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:64:894.625000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:64:895.666667:2,0.875,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:64:898.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:64:899.125000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:65:886.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:65:886.333333:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:65:888.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:65:889.000000:4,0.375,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:65:890.500000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:65:890.750000:5,0.625,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:65:892.375000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:65:898.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:66:891.750000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:66:892.000000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:66:892.375000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:66:896.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:66:898.625000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:67:886.333333:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:67:894.875000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:67:895.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:67:896.250000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:68:891.500000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:68:894.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:68:894.375000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:68:894.625000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:68:897.750000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:68:898.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:68:898.375000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:69:890.750000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:69:891.333333:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:69:897.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:70:888.666667:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:70:895.375000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:71:886.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:71:890.125000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:71:893.750000:2,0.375,medium,reference=0.5; best candidate match
LisztMephisto_Waltz:RH:72:886.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:72:892.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:72:897.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:72:899.750000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:73:893.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:73:894.125000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:73:895.625000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:74:886.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:74:888.500000:5,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:74:890.500000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:74:892.625000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:74:892.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:75:895.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:75:899.500000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:76:886.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:76:895.250000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:76:898.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:77:886.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:77:886.750000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:77:888.333333:5,0.166667,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:77:888.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:77:892.375000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:77:898.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:78:891.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:78:892.000000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:78:896.500000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:78:898.625000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:79:884.250000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:79:886.500000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:79:891.625000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:79:893.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:79:894.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:79:895.875000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:80:891.500000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:80:894.375000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:80:898.125000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:80:899.750000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:81:888.250000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:81:890.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:81:894.875000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:81:897.500000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:82:884.000000:1,0.125,low,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:82:884.250000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:82:888.125000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:82:892.625000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:82:894.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:82:894.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:82:895.375000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:82:899.750000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:83:887.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:83:890.125000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:83:892.666667:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:83:893.750000:3,0.5,medium,reference not among candidates; write explicit duration
LisztMephisto_Waltz:RH:83:897.750000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:83:899.750000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:84:888.000000:5,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:84:892.375000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:84:893.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:84:897.875000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:84:899.875000:3,0.125,low,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:85:891.625000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:85:892.375000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:85:892.750000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:85:894.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:85:895.625000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:887.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:888.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:890.500000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:891.625000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:891.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:892.750000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:892.875000:1,0.333333,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:898.250000:3,0.375,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:86:899.875000:3,0.125,low,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:87:892.250000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:87:894.666667:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:87:899.500000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:88:884.000000:4,0.25,low,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:88:887.750000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:88:888.125000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:88:892.375000:3,0.375,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:88:892.750000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:88:899.000000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:88:899.125000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:89:884.666667:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:89:887.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:89:887.125000:4,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:89:887.750000:5,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:89:888.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:89:892.375000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:90:891.875000:1,0.333333,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:90:894.375000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:90:896.500000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:90:898.250000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:90:898.625000:3,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:90:899.000000:2,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:91:884.000000:1,0.125,low,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:91:884.666667:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:91:885.125000:4,0.625,medium,reference=0.5; best candidate match
LisztMephisto_Waltz:RH:91:894.875000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:91:895.875000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:92:891.500000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:92:891.875000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:92:894.375000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:92:898.125000:1,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:93:890.750000:2,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:94:884.750000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:94:885.000000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:94:887.250000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:94:887.500000:5,0.25,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:97:884.750000:1,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:97:887.625000:4,0.125,medium,no clean reference; shortest readable candidate >= key_duration
LisztMephisto_Waltz:RH:98:887.375000:1,0.333333,medium,no clean reference; shortest readable candidate >= key_duration
